取得日時,往路,復路,価格
2024-07-29 08:34:58,2024年08月08日,2024年08月10日,186478
2024-07-29 08:34:58,2024年08月09日,2024年08月11日,199150
2024-07-29 09:05:04,2024年08月02日,2024年08月04日,152695
2024-07-29 09:05:04,2024年08月03日,2024年08月05日,158080
2024-07-29 09:05:04,2024年08月04日,2024年08月06日,157301
2024-07-29 09:05:04,2024年08月05日,2024年08月07日,149317
2024-07-29 09:05:04,2024年08月06日,2024年08月08日,161590
2024-07-29 09:05:04,2024年08月07日,2024年08月09日,171255
2024-07-29 09:05:04,2024年08月08日,2024年08月10日,186478
2024-07-29 09:05:04,2024年08月09日,2024年08月11日,207446
2024-07-29 09:35:00,2024年08月02日,2024年08月04日,155141
2024-07-29 09:35:00,2024年08月03日,2024年08月05日,159380
2024-07-29 09:35:00,2024年08月04日,2024年08月06日,157301
2024-07-29 09:35:00,2024年08月05日,2024年08月07日,149317
2024-07-29 09:35:00,2024年08月06日,2024年08月08日,161580
2024-07-29 09:35:00,2024年08月07日,2024年08月09日,170470
2024-07-29 09:35:00,2024年08月08日,2024年08月10日,192320
2024-07-29 09:35:00,2024年08月09日,2024年08月11日,213188
2024-07-29 10:05:02,2024年08月02日,2024年08月04日,155141
2024-07-29 10:05:02,2024年08月03日,2024年08月05日,162680
2024-07-29 10:05:02,2024年08月04日,2024年08月06日,157301
2024-07-29 10:05:02,2024年08月05日,2024年08月07日,149317
2024-07-29 10:05:02,2024年08月06日,2024年08月08日,176192
2024-07-29 10:05:02,2024年08月07日,2024年08月09日,170470
2024-07-29 10:05:02,2024年08月08日,2024年08月10日,192320
2024-07-29 10:05:02,2024年08月09日,2024年08月11日,212926
2024-07-29 10:35:06,2024年08月02日,2024年08月04日,155111
2024-07-29 10:35:06,2024年08月03日,2024年08月05日,158710
2024-07-29 10:35:06,2024年08月04日,2024年08月06日,157301
2024-07-29 10:35:06,2024年08月05日,2024年08月07日,149317
2024-07-29 10:35:06,2024年08月06日,2024年08月08日,176157
2024-07-29 10:35:06,2024年08月07日,2024年08月09日,179378
2024-07-29 10:35:06,2024年08月08日,2024年08月10日,178030
2024-07-29 10:35:06,2024年08月09日,2024年08月11日,212880
2024-07-29 11:04:56,2024年08月02日,2024年08月04日,161647
2024-07-29 11:04:56,2024年08月03日,2024年08月05日,158710
2024-07-29 11:04:56,2024年08月04日,2024年08月06日,157301
2024-07-29 11:04:56,2024年08月05日,2024年08月07日,149317
2024-07-29 11:04:56,2024年08月06日,2024年08月08日,176157
2024-07-29 11:04:56,2024年08月07日,2024年08月09日,176008
2024-07-29 11:04:56,2024年08月08日,2024年08月10日,192320
2024-07-29 11:04:56,2024年08月09日,2024年08月11日,234098
2024-07-29 14:34:43,2024年08月02日,2024年08月04日,157300
2024-07-29 14:34:43,2024年08月03日,2024年08月05日,180535
2024-07-29 14:34:43,2024年08月04日,2024年08月06日,174377
2024-07-29 14:34:43,2024年08月05日,2024年08月07日,156240
2024-07-29 14:34:43,2024年08月06日,2024年08月08日,167780
2024-07-29 14:34:43,2024年08月07日,2024年08月09日,171191
2024-07-29 14:34:43,2024年08月08日,2024年08月10日,179424
2024-07-29 14:34:43,2024年08月09日,2024年08月11日,206959
2024-07-29 15:03:45,2024年08月02日,2024年08月04日,189104
2024-07-29 15:03:45,2024年08月03日,2024年08月05日,158080
2024-07-29 15:03:45,2024年08月04日,2024年08月06日,178159
2024-07-29 15:03:45,2024年08月05日,2024年08月07日,156240
